municipio_cod;municipio;pop_19;homicidio_doloso_2;nº_de_vitimas_em_homicidio_doloso_3;homicidio_doloso_por_acidente_de_transito;nº_de_vitimas_em_homicidio_doloso_por_acidente_de_transito;homicidio_culposo_por_acidente_de_transito;homicidio_culposo_outros;tentativa_de_homicidio;lesao_corporal_seguida_de_morte;lesao_corporal_dolosa;lesao_corporal_culposa_por_acidente_de_transito;lesao_corporal_culposa_outras;latrocinio;nº_de_vitimas_em_latrocinio;total_de_estupro_4;estupro;estupro_de_vulneravel;total_de_roubo_outros_1;roubo_outros;roubo_de_veiculo;roubo_a_banco;roubo_de_carga;furto_outros;furto_de_veiculo
468;Presidente Venceslau;   39516;  2;  2;0;0;  2; 0;  2; 0;  180;  147;   3; 0; 0;   7;  1;   6;     3;     3;    0; 0;   0;   151;    2
469;Promissão;   40432;  0;  0;0;0;  7; 0;  4; 0;  113;   61;   1; 0; 0;  12;  3;   9;    19;    19;    3; 0;   0;   497;   18
470;Quadra;    3804;  0;  0;0;0;  0; 0;  0; 0;   10;    5;   0; 0; 0;   0;  0;   0;     9;     5;    1; 0;   4;    39;    4
471;Quatá;   14109;  1;  1;0;0;  0; 0;  0; 0;   34;   13;   1; 0; 0;   3;  0;   3;     5;     5;    0; 0;   0;    63;    1
472;Queiroz;    3406;  0;  0;0;0;  0; 0;  0; 0;   13;    5;   2; 0; 0;   1;  0;   1;     1;     1;    0; 0;   0;    25;    2
473;Queluz;   13420;  4;  4;0;0;  2; 0;  2; 0;   65;   13;   0; 0; 0;   4;  0;   4;    33;    30;    2; 0;   3;   104;    2
474;Quintana;    6638;  0;  0;0;0;  0; 0;  0; 0;   11;    5;   0; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;    24;    0
475;Rafard;    9076;  1;  1;0;0;  0; 0;  0; 0;   33;   16;   1; 0; 0;   1;  0;   1;     5;     4;    5; 0;   1;    70;    8
476;Rancharia;   29707;  2;  2;0;0;  5; 0;  0; 1;  328;  104;   0; 0; 0;   8;  3;   5;    13;    12;    1; 0;   1;   291;    9
477;Redenção da Serra;    3851;  1;  1;0;0;  0; 0;  1; 0;   19;    3;   0; 0; 0;   5;  1;   4;     6;     6;    1; 0;   0;    48;    2
478;Regente Feijó;   20261;  2;  2;0;0;  3; 0;  0; 1;  104;   56;   1; 0; 0;   4;  1;   3;     2;     1;    0; 0;   1;   131;    3
479;Reginópolis;    9621;  0;  0;0;0;  2; 0;  1; 0;   18;    1;   0; 0; 0;   1;  1;   0;     1;     1;    0; 0;   0;    23;    0
480;Registro;   56322;  5;  5;0;0;  7; 0;  6; 0;  226;  160;   3; 0; 0;  35; 14;  21;    80;    77;    8; 0;   3;   649;   34
481;Restinga;    7593;  0;  0;0;0;  0; 0;  0; 0;   25;   14;   6; 0; 0;   5;  0;   5;     8;     8;    0; 0;   0;    76;    1
482;Ribeira;    3340;  1;  1;0;0;  1; 1;  0; 0;   14;    6;   0; 0; 0;   1;  0;   1;     0;     0;    1; 0;   0;    14;    0
483;Ribeirão Bonito;   13219;  2;  2;0;0;  1; 0;  2; 0;   44;    1;   0; 0; 0;   2;  0;   2;     5;     5;    1; 0;   0;    85;    4
484;Ribeirão Branco;   16444;  1;  1;0;0;  1; 1;  1; 0;   76;   16;   1; 0; 0;  18;  5;  13;    10;    10;    0; 0;   0;    74;    4
485;Ribeirão Corrente;    4718;  0;  0;0;0;  0; 0;  1; 0;    7;    4;   1; 0; 0;   4;  0;   4;     3;     3;    0; 0;   0;    47;    1
486;Ribeirão do Sul;    4541;  1;  1;0;0;  0; 0;  0; 0;   18;    7;   0; 0; 0;   0;  0;   0;     1;     1;    2; 0;   0;    37;    1
487;Ribeirão dos Índios;    2225;  0;  0;0;0;  0; 1;  0; 0;    6;    2;   0; 0; 0;   1;  1;   0;     0;     0;    0; 0;   0;     6;    1
488;Ribeirão Grande;    7673;  0;  0;0;0;  1; 0;  1; 0;   17;    2;   0; 0; 0;   1;  0;   1;     2;     2;    1; 0;   0;    53;    1
489;Ribeirão Pires;  123393;  4;  4;0;0; 13; 0;  6; 0;  335;   80;  10; 0; 0;  35; 10;  25;   384;   378;  143; 0;   6;   557;  211
490;Ribeirão Preto;  703293; 40; 42;1;1; 47; 1; 47; 1; 1389; 1325;  55; 2; 2;  74; 27;  47;  2977;  2944;  569; 0;  33;  8823; 1695
491;Rifaina;    3629;  0;  0;0;0;  0; 0;  0; 0;   17;    1;   0; 0; 0;   1;  0;   1;     0;     0;    1; 0;   0;    39;    2
492;Rincão;   10799;  0;  0;0;0;  2; 0;  4; 0;   64;    2;   3; 0; 0;  10;  1;   9;     5;     4;    2; 0;   1;    87;    6
493;Rinópolis;    9981;  1;  1;0;0;  0; 0;  0; 0;   16;   18;   1; 0; 0;   5;  0;   5;     2;     2;    0; 0;   0;    40;    1
494;Rio Claro;  206424; 13; 13;0;0; 21; 0; 14; 1;  644; 1178;   6; 2; 2;  57; 14;  43;   552;   546;  158; 0;   6;  1871;  433
