municipio_cod;municipio;pop_19;homicidio_doloso_2;nº_de_vitimas_em_homicidio_doloso_3;homicidio_doloso_por_acidente_de_transito;nº_de_vitimas_em_homicidio_doloso_por_acidente_de_transito;homicidio_culposo_por_acidente_de_transito;homicidio_culposo_outros;tentativa_de_homicidio;lesao_corporal_seguida_de_morte;lesao_corporal_dolosa;lesao_corporal_culposa_por_acidente_de_transito;lesao_corporal_culposa_outras;latrocinio;nº_de_vitimas_em_latrocinio;total_de_estupro_4;estupro;estupro_de_vulneravel;total_de_roubo_outros_1;roubo_outros;roubo_de_veiculo;roubo_a_banco;roubo_de_carga;furto_outros;furto_de_veiculo
568;São Roque;   91016;  4;  4;0;0;  9; 0;  8; 0;  169;   82;   2; 0; 0;  39;  7;  32;   123;   116;   60; 0;   7;   656;   59
569;São Sebastião;   88980; 12; 13;0;0; 10; 0;  9; 0;  393;   92;   7; 0; 0;  40; 15;  25;   194;   194;    2; 0;   0;   961;   34
570;São Sebastião da Grama;   12182;  0;  0;0;0;  0; 0;  0; 0;   31;    9;   3; 0; 0;   1;  0;   1;     2;     2;    1; 0;   0;    58;    9
571;São Simão;   15322;  2;  2;0;0;  6; 0;  0; 0;   75;   21;   0; 0; 0;   6;  1;   5;    17;    10;    3; 0;   7;   139;    5
572;São Vicente;  365798; 17; 24;0;0; 26; 1; 38; 2;  803;  388;  10; 1; 1;  51; 13;  38;  2941;  2932;  356; 0;   9;  3446;  338
573;Sarapuí;   10285;  3;  3;0;0;  2; 0;  0; 0;   34;   10;   2; 0; 0;   3;  2;   1;     9;     9;    4; 0;   0;    87;    6
574;Sarutaiá;    3638;  1;  1;0;0;  0; 0;  0; 0;    8;    3;   0; 0; 0;   0;  0;   0;     2;     2;    0; 0;   0;    32;    1
575;Sebastianópolis do Sul;    3513;  0;  0;0;0;  1; 0;  0; 0;    9;    1;   1; 0; 0;   5;  1;   4;     0;     0;    0; 0;   0;    21;    1
576;Serra Azul;   14662;  0;  0;0;0;  2; 0;  0; 0;   65;    3;   1; 0; 0;   8;  3;   5;     3;     3;    1; 0;   0;    76;    7
577;Serra Negra;   29229;  1;  1;0;0;  0; 0;  5; 0;  117;   56;   1; 0; 0;  11;  6;   5;    21;    20;    1; 0;   1;   249;   20
578;Serrana;   45107;  2;  2;0;0;  4; 0;  5; 0;  132;   37;   1; 0; 0;  16;  7;   9;    81;    79;   12; 0;   2;   380;   75
579;Sertãozinho;  125815;  5;  8;0;0; 12; 1;  8; 0;  335;  119;   7; 0; 0;  35;  9;  26;   145;   142;   44; 0;   3;   945;  262
580;Sete Barras;   12832;  1;  1;0;0;  4; 0;  1; 0;   51;   21;   2; 0; 0;   4;  2;   2;     7;     7;    0; 0;   0;   156;    1
581;Severínia;   17496;  0;  0;0;0;  1; 2;  0; 0;   57;   23;   0; 0; 0;   7;  1;   6;     3;     3;    0; 0;   0;    35;    5
582;Silveiras;    6302;  0;  0;0;0;  0; 0;  0; 0;   15;    7;   0; 0; 0;   3;  0;   3;     1;     1;    0; 0;   0;    32;    2
583;Socorro;   41005;  1;  1;0;0;  5; 0;  2; 0;   97;   55;   0; 0; 0;  10;  4;   6;    18;    18;    2; 0;   0;   232;   26
584;Sorocaba;  679378; 47; 48;0;0; 49; 0; 52; 1; 1922;  875;  22; 2; 2; 189; 39; 150;  1928;  1919;  377; 0;   9;  6888; 1303
585;Sud Mennucci;    7718;  0;  0;0;0;  1; 0;  1; 0;   30;   12;   1; 0; 0;   4;  1;   3;     1;     1;    0; 0;   0;    55;    3
586;Sumaré;  282441; 19; 20;0;0; 21; 3; 21; 1;  741;  507;  11; 0; 0;  50; 22;  28;   999;   939;  286; 0;  60;   214;  547
587;Suzanápolis;    3963;  0;  0;0;0;  1; 0;  0; 0;   15;    3;   0; 0; 0;   2;  0;   2;     0;     0;    0; 0;   0;    18;    0
588;Suzano;  297637; 21; 30;0;0; 20; 3; 14; 0;  865;  250;  26; 4; 4;  96; 20;  76;  1592;  1521;  498; 0;  71;   239;  782
589;Tabapuã;   12407;  2;  2;0;0;  1; 0;  0; 0;   37;   13;   1; 0; 0;   4;  1;   3;     1;     1;    0; 0;   0;    47;    2
590;Tabatinga;   16496;  1;  2;0;0;  2; 0;  1; 0;   50;    6;   0; 0; 0;   7;  2;   5;     9;     8;    0; 0;   1;   116;    4
591;Taboão da Serra;  289664; 12; 12;0;0;  3; 0; 25; 2;  834;  308;  15; 1; 1;  80; 22;  58;  2441;  2368;  388; 0;  73;  1756;  549
592;Taciba;    6285;  0;  0;0;0;  3; 0;  0; 0;   28;    8;   0; 0; 0;   1;  0;   1;     0;     0;    1; 0;   0;    54;    2
593;Taguaí;   13859;  0;  0;0;0;  1; 0;  0; 0;   61;   15;   1; 0; 0;   9;  2;   7;     4;     4;    1; 0;   0;    85;    6
594;Taiaçu;    6295;  0;  0;0;0;  0; 0;  1; 0;   14;    1;   0; 0; 0;   5;  0;   5;     6;     6;    1; 0;   0;    62;    5
595;Taiúva;    5566;  0;  0;0;0;  0; 0;  0; 0;   13;    2;   0; 0; 0;   0;  0;   0;     4;     3;    0; 0;   1;    66;    7
596;Tambaú;   23207;  3;  3;0;0;  1; 0;  1; 0;   82;   28;   0; 0; 0;  10;  2;   8;    11;    11;   11; 0;   0;   188;   12
597;Tanabi;   25967;  2;  2;0;0;  4; 0;  0; 0;   78;   18;   0; 0; 0;   7;  1;   6;    16;    16;    0; 0;   0;   259;   20
598;Tapiraí;    7807;  2;  2;0;0;  3; 0;  0; 0;   37;    6;   0; 0; 0;   4;  0;   4;     4;     4;    0; 0;   0;    75;    1
599;Tapiratiba;   12960;  0;  0;0;0;  3; 0;  3; 0;   52;   20;   0; 0; 0;   1;  0;   1;     5;     5;    1; 0;   0;    61;    4
600;Taquaral;    2811;  0;  0;0;0;  0; 0;  0; 0;   13;    0;   0; 0; 0;   5;  1;   4;     1;     1;    0; 0;   0;    18;    0
601;Taquaritinga;   57177;  7;  7;0;0; 12; 6;  6; 1;  217;   86;   2; 0; 0;  27;  3;  24;    53;    50;   15; 0;   3;   640;   36
602;Taquarituba;   23218;  1;  1;0;0;  4; 0;  0; 0;  129;   31;   0; 0; 0;  16;  2;  14;    26;    26;    0; 0;   0;   166;   15
603;Taquarivaí;    5852;  0;  0;0;0;  2; 0;  1; 0;   34;   11;   0; 0; 0;   8;  1;   7;     2;     2;    0; 0;   0;    39;    1
604;Tarabai;    7468;  0;  0;0;0;  0; 0;  0; 0;   44;    4;   1; 0; 0;   2;  1;   1;     1;     1;    1; 0;   0;    52;    0
605;Tarumã;   15000;  0;  0;0;0;  4; 1;  1; 0;   57;   13;   0; 0; 0;   3;  2;   1;     5;     4;    1; 0;   1;    77;    5
606;Tatuí;  121766;  4;  4;0;0; 15; 2; 11; 0;  384;   85;   1; 1; 1;  69; 16;  53;   106;   105;   23; 0;   1;   760;  138
607;Taubaté;  314924; 35; 37;0;0; 27; 0; 42; 2;  913;  559;  35; 1; 1;  74; 19;  55;   966;   963;  170; 0;   3;  2966;  485
608;Tejupá;    4532;  0;  0;0;0;  2; 0;  0; 0;   27;    0;   0; 0; 0;   3;  1;   2;     1;     1;    0; 0;   0;    26;    3
609;Teodoro Sampaio;   23148;  1;  1;0;0;  1; 0;  2; 0;  118;   34;   0; 0; 0;  12;  3;   9;     6;     6;    1; 0;   0;   183;    5
610;Terra Roxa;    9370;  0;  0;0;0;  1; 0;  0; 0;   29;    7;   2; 0; 0;   8;  3;   5;     2;     1;    0; 0;   1;    39;    5
611;Tietê;   42076;  1;  1;0;0;  9; 0;  2; 0;  104;   83;   0; 0; 0;  10;  3;   7;    31;    30;   10; 0;   1;   226;   73
612;Timburi;    2658;  0;  0;0;0;  0; 0;  0; 0;    8;    3;   0; 0; 0;   0;  0;   0;     1;     0;    0; 0;   1;    13;    0
613;Torre de Pedra;    2412;  0;  0;0;0;  0; 0;  0; 0;    4;    1;   1; 0; 0;   1;  0;   1;     1;     1;    0; 0;   0;     7;    0
614;Torrinha;   10010;  1;  1;0;0;  0; 0;  1; 0;   48;   10;   0; 0; 0;   7;  0;   7;     1;     1;    1; 0;   0;    70;    4
615;Trabiju;    1724;  0;  0;0;0;  0; 0;  0; 0;    4;    2;   0; 0; 0;   1;  0;   1;     0;     0;    0; 0;   0;    12;    0
616;Tremembé;   47185;  4;  4;0;0;  4; 0;  4; 0;  166;   47;   1; 1; 1;  12;  4;   8;    86;    86;   30; 0;   0;   310;   36
617;Três Fronteiras;    5807;  0;  0;0;0;  1; 0;  3; 0;   39;   21;   0; 0; 0;   5;  2;   3;     1;     1;    0; 0;   0;    52;    5
618;Tuiuti;    6894;  1;  1;0;0;  2; 0;  1; 0;   16;    9;   0; 0; 0;   2;  0;   2;     3;     3;    0; 0;   0;    68;    2
619;Tupã;   65524;  1;  1;0;0;  4; 0;  2; 1;  234;  400;   4; 1; 1;  10;  2;   8;    13;    13;    1; 0;   0;   482;   30
620;Tupi Paulista;   15495;  0;  0;0;0;  1; 0;  1; 0;   87;   54;   1; 0; 0;   4;  1;   3;     0;     0;    0; 0;   0;    86;    1
621;Turiúba;    2016;  0;  0;0;0;  0; 0;  0; 0;    5;    1;   1; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;    13;    0
622;Turmalina;    1727;  0;  0;0;0;  0; 0;  0; 0;    5;    3;   0; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;     5;    0
623;Ubarana;    6309;  0;  0;0;0;  3; 0;  2; 0;   29;    5;   1; 0; 0;   4;  2;   2;     1;     1;    0; 0;   0;    40;    2
624;Ubatuba;   90799; 20; 20;0;0;  9; 1; 18; 0;  474;  228;   1; 0; 0;  44; 11;  33;   334;   329;    9; 0;   5;  1295;   57
625;Ubirajara;    4780;  1;  1;0;0;  0; 0;  1; 0;   20;    2;   1; 0; 0;   4;  0;   4;     5;     5;    0; 0;   0;    29;    1
626;Uchoa;   10110;  0;  0;0;0;  1; 0;  1; 0;   47;   13;   2; 0; 0;   3;  1;   2;     3;     2;    0; 0;   1;    63;    5
627;União Paulista;    1844;  0;  0;0;0;  0; 0;  0; 0;    5;    1;   0; 0; 0;   1;  0;   1;     0;     0;    0; 0;   0;    13;    1
628;Urânia;    9114;  1;  1;0;0;  2; 1;  1; 0;   26;   22;   0; 0; 0;   6;  1;   5;     4;     3;    1; 0;   1;    39;    1
629;Uru;    1165;  0;  0;0;0;  0; 0;  0; 0;    6;    2;   0; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;     8;    0
630;Urupês;   13809;  1;  1;0;0;  2; 1;  1; 0;   77;   21;   4; 0; 0;   8;  2;   6;     3;     3;    0; 0;   0;    88;    7
631;Valentim Gentil;   13326;  0;  0;0;0;  5; 0;  0; 0;   72;   48;   3; 0; 0;   8;  2;   6;     5;     5;    0; 0;   0;   121;   12
632;Valinhos;  129193;  4;  5;2;3;  8; 1;  4; 0;  428;  366;   2; 0; 0;  25;  9;  16;   187;   169;   65; 0;  18;   817;  252
633;Valparaíso;   26480;  6;  6;0;0;  0; 0;  6; 0;   64;   30;   0; 0; 0;   5;  0;   5;    16;    16;    2; 0;   0;   153;    6
634;Vargem;   10537;  0;  0;0;0;  1; 0;  2; 0;   42;   14;   0; 0; 0;   7;  0;   7;     6;     5;    5; 0;   1;    79;    4
635;Vargem Grande do Sul;   42845;  5;  5;0;0;  7; 0;  6; 0;  158;  100;   0; 0; 0;  10;  3;   7;    19;    19;    7; 0;   0;   316;   22
636;Vargem Grande Paulista;   52597;  3;  3;0;0;  3; 0;  4; 0;  162;   72;   3; 0; 0;  14;  4;  10;    92;    82;   51; 0;  10;   271;   36
637;Várzea Paulista;  121838;  8;  8;0;0;  8; 0;  3; 0;  316;  149;   8; 0; 0;  37; 14;  23;   311;   304;   83; 0;   7;   715;  219
638;Vera Cruz;   10843;  1;  1;0;0;  0; 0;  2; 0;   43;   19;   0; 0; 0;   0;  0;   0;     3;     2;    0; 0;   1;    81;    2
639;Vinhedo;   78728;  2;  2;0;0;  4; 1;  2; 0;  199;  143;   7; 0; 0;  12;  6;   6;    81;    77;   19; 0;   4;   492;   54
640;Viradouro;   18898;  1;  1;0;0;  2; 0;  3; 0;  118;   27;   0; 0; 0;   4;  1;   3;    11;    11;    3; 0;   0;   110;    5
641;Vista Alegre do Alto;    8810;  0;  0;0;0;  2; 0;  0; 0;   25;    1;   0; 0; 0;   2;  0;   2;     4;     4;    2; 0;   0;    47;    2
642;Vitória Brasil;    1840;  0;  0;0;0;  0; 0;  0; 0;    7;    3;   1; 0; 0;   1;  1;   0;     1;     1;    0; 0;   0;     8;    0
643;Votorantim;  122480;  4;  4;0;0;  6; 1;  6; 1;  300;   92;   6; 0; 0;  51; 14;  37;   130;   130;   31; 0;   0;   714;  102
644;Votuporanga;   94547;  7;  7;0;0;  6; 2;  7; 0;  406;  748;  50; 0; 0;  29;  9;  20;    57;    57;    3; 0;   0;   948;   78
645;Zacarias;    2718;  1;  1;0;0;  1; 0;  0; 0;   15;    6;   0; 0; 0;   2;  0;   2;     2;     2;    0; 0;   0;    33;    0
